ID	Original Text	Translated Text
7119	lvl	lvl
7120	ps_timed_stats_chaos_lvl	ps_timed_stats_chaos_lvl
7121	ps_timed_stats_crew_lvl	ps_timed_stats_crew_lvl
7122	count	compter
7123	ps_timed_stats_num_human_players	ps_timed_stats_nombre_de_joueurs_humains
7124	ps_timed_stats_num_bot_players	ps_timed_stats_num_bot_players
7125	ps_timed_stats_ship_type	ps_timed_stats_ship_type
7126	-----------------	-----------------
7127	DPS Report (3 min avg)	Rapport DPS (3 min avg)
7128	damage:	dommages :
7129	_BumpAmt	_BumpAmt
7130	_BumpMap	_BumpMap
7131	_BaseIllum	_BaseIllum
7132	AI_AutoShipTargetingEnabled	AI_AutoShipTargetingEnabled
7133	power	puissance
7134	Fw	Fw
7135	rv	rv
7136	stop	Quitter
7137	Thurst test	Test Thurst
7138	reverse thrust?	la poussée inverse ?
7139	stop thrust sound	arrêt du bruit de poussée
7140	ExteriorRigidbody	ExtérieurCorps rigide
7141	MyStats.Update	MyStats.Update
7142	PLShipInfoBase.AboutToBeDestroyed	PLShipInfoBase.AboutToBeDestroyed
7143	target_ship_type	Type de navire cible
7144	-1	
7145	player_ship_type	Type de vaisseau du joueur
7146	enemy_ship_destroyed	navire_ennemi_destroyé
7147	INFO	INFO
7148	[STR0] was somehow able to still report with blocked long range comms!	[STR0] a réussi à faire un rapport avec des communications longue portée bloquées !
7149	-2 Rep for [STR0] (due to destroying ship)	-2 Rep pour [STR0] (à cause de la destruction du navire)
7150	[STR0] appears to have been important!	[STR0] semble avoir été important !
7151	Additional -2 Rep for [STR0] (due to destroying ship)	-2 Rep supplémentaires pour [STR0] (en raison de la destruction du navire)
7152	Long range transmission blocked (prevented Reputation loss)	Transmission à longue portée bloquée (perte de réputation évitée)
7153	CR	CR
7154	+[STR0] Credits (from enemy ship kill)	+ [STR0] Crédits (du navire ennemi tué)
7155	+[STR0] Credits (from Scavenger bonus)	+ [STR0] Crédits (provenant du bonus du charognard)
7156	You earned 1 XP (from enemy ship kill)	Vous avez gagné 1 XP (en tuant un vaisseau ennemi)
7157	+[STR0] Chaos (from enemy ship kill)	+ [STR0] Chaos (du navire ennemi tué)
7158	player_ship_destroyed	vaisseau_joueur_destroyé
7159	SMP	SMP
7160	-1 Rep for [STR0] (due to attacking ship)	-1 Rep pour [STR0] (à cause du navire attaquant)
7161	Additional -1 Rep for [STR0] (due to attacking ship)	-1 Rep supplémentaire pour [STR0] (à cause du navire attaquant)
7162	[	[
7163	<color=white>[STR0]</color> damaged <color=white>[STR1]</color> for [STR2] shield damage[STR3]	<color=white><color>[STR0]</color> endommagé <color=white><color>[STR1]</color> pour [STR2] dommages de bouclier[STR3]</color=white>
7164	<color=white>[STR0]</color> damaged <color=white>[STR1]</color> for [STR2] hull damage[STR3]	<color=white><color>[STR0]</color> endommagé <color=white><color>[STR1]</color> pour [STR2] dommages à la coque[STR3]</color=white>
7165	HullCreak	HullCreak
7166	ShieldAbsorbDamage	BouclierAbsorberDégâts
7167	SmallShieldAbsorbDamage	Petit BouclierAbsorbantDégâts
7168	PlayerDefeatByEnemyShip	PlayerDefeatByEnemyShip
7169	SK	SK
7170	<color=white>[STR0]</color> destroyed <color=white>[STR1]</color>	<color=white><color>[STR0]</color> détruit <color=white>[STR1]</color>
7171	DefeatEnemyShip	DefeatEnemyShip
7172	ShipInfoBase.EndWarp()    GetCPEI():	ShipInfoBase.EndWarp() GetCPEI() :
7173	ShipInfoBase.EndWarp()    TOPSEC	ShipInfoBase.EndWarp() TOPSEC
7174	Hull$	Hull$
7175	Shields$	Boucliers
7176	removing virus from send queue: id-	suppression du virus de la file d'attente d'envoi : id-
7177	EM SWEEP COMPLETED	EM BALAYAGE TERMINÉ
7178	The EM sweep has been completed!	Le balayage EM est terminé !
7179	QT SWEEP COMPLETED	QT BALAYAGE TERMINÉ
7180	No new objects were detected during the sweep!	Aucun nouvel objet n'a été détecté pendant le balayage !
7181	TLI	TLI
7182	Probe	Sonde
7183	SetupNewSortID: FlagForSelfDestruction$VisualSlotType:	SetupNewSortID : FlagForSelfDestruction$VisualSlotType :
7184	$maxSortID:	$maxSortID :
7185	isMC:	estMC :
7186	AddShipComponent on client without netid!	AddShipComponent sur un client sans netid !
7187	AddShipComponent (virus)	AddShipComponent (virus)
7188	ship:	navire :
7189	RemoveShipComponent (virus)	RemoveShipComponent (virus)
7190	[STR0] prevented lethal damage to ship and repaired the hull to 15%. It has been destroyed!	[STR0] a évité les dommages mortels au vaisseau et a réparé la coque à 15%. Il a été détruit !
7191	Self-Destructing Comp:	Comp. autodestructif
7192	AllOfType is NULL	AllOfType est NULL
7193	Trade Menu	Menu du commerce
7194	is broadcasting on a trading/commerce channel.	est diffusée sur une chaîne de trading/commerce.
7195	does not appear to be hostile.	ne semble pas être hostile.
7196	Text	Texte
7197	Open Trading Window	Ouvrir une fenêtre de négociation
7198	Install Ship Components	Installer les composants du navire
7199	Gruffâ€™s Stuff	Gruff's Stuff
7200	Fine goods and services	Biens et services de qualité
7201	You look like a fine bunch of people! My shop is open to you any time!	Vous avez l'air d'être des gens bien ! Mon magasin vous est ouvert à tout moment !
7202	???	? ??
7203	This is a store. Buy something	Ceci est un magasin. Achetez quelque chose
7204	... Buy or leave.	... Acheter ou laisser.
7205	Corbin's Emporium	L'emporium de Corbin
7206	The BEST COMPONENTS on this side of the GALAXY! No refunds.	Les meilleurs composants de ce côté de la GALAXIE ! Aucun remboursement.
7207	Greetings. Are you having pleasant travels? Yes? No? It doesnâ€™t matter. Iâ€™ve got what youâ€™ve need, GUARANTEED!	Salutations. Vous faites un bon voyage ? Oui ? Non ? Ca n'a pas d'importance. J'ai ce dont vous avez besoin, c'est garanti !
7208	Fluffy Biscuit Company Goods	Marchandises de la société Fluffy Biscuit
7209	Recipe vender	Vendeur de recettes
7210	Swap out your recipes here! Sell more biscuits!	Échangez vos recettes ici ! Vendez plus de biscuits !
7211	Fluffy Biscuit General Shop	Magasin général Fluffy Biscuit
7212	Biscuit vender	Vendeur de biscuits
7213	Thanks for choosing the Fluffy Biscuit Company!	Merci d'avoir choisi la Fluffy Biscuit Company !
7214	Automated Trading Station	Station de trading automatisé
7215	General goods vendor	Vendeur de marchandises générales
7216	GOODS FOR SALE. PURCHASE YES	MARCHANDISES À VENDRE. ACHAT OUI
7217	CPU Shop	Boutique CPU
7218	Programs Shop	Boutique des programmes
7219	Quality scrap for affordable prices.	De la ferraille de qualité à des prix abordables.
7220	This scrap will get you where you're going! You gotta process it yourself though.	Ces déchets vous mèneront là où vous allez ! Mais vous devez les traiter vous-même.
7221	Comet Shop	Boutique Comet
7222	Unique Processors	Processeurs uniques
7223	Sylvassi Shop	Boutique Sylvassi
7224	Virus Shop	Boutique de virus
7225	Piloting Info	Informations sur le pilotage
7226	Camera Mode	Mode caméra
7227	Flight Mode	Mode de vol
7228	PilotCameraMode	PilotCameraMode
7229	PilotControlMode	PilotControlMode
7230	First person piloting not available in The Academy!	Le pilotage à la première personne n'est pas disponible dans The Academy !
7231	VRFlightCameraLocked	VRFlightCameraLocked
7232	MouseSensitivity_Piloting	Sensibilité de la souris_Pilotage
7233	InvertMouseY_Piloting	Inverser la sourisY_Pilotage
7234	AI Priority Data: Outdated Version!	Données prioritaires de l'IA : Version périmée !
7235	We have updated the default AI priorities. We have detected that your AI data is from an old version and recommend resetting your AI priorities to get the changes. $$INFO: Resetting your AI data will erase any modifications you may have made to your bot priorities!	Nous avons mis à jour les priorités d'IA par défaut. Nous avons détecté que vos données d'IA proviennent d'une ancienne version et vous recommandons de réinitialiser vos priorités d'IA pour bénéficier des changements. $$INFO : La réinitialisation de vos données d'IA effacera toutes les modifications que vous avez pu apporter aux priorités de votre robot !
7236	Reset AI Priorities (Latest Version)	Réinitialiser les priorités de l'IA (dernière version)
7237	Skip (Not Recommended)	Sauter (non recommandé)
7238	Create New Translation	Créer une nouvelle traduction
7239	Enter a title for your translation:	Saisissez un titre pour votre traduction :
7240	alphabacker_names	alphabétiseur_noms
7241	PULSAR: LOST COLONY	PULSAR : COLONIE PERDUE
7242	DEVELOPED BY	DÉVELOPPÉ PAR
7243	LEAFY GAMES	JEUX DE LAPIN
7244	PROGRAMMING	PROGRAMMATION
7245	Preston Stoll	Preston Stoll
7246	ART	ART
7247	George Stoll	George Stoll
7248	WRITING	ÉCRITURE
7249	Jenn Feran	Jenn Feran
7250	Sound Design	Conception sonore
7251	Hexany Audio	Hexany Audio
7252	Sound Designer: Matthew Earl	Concepteur sonore : Matthew Earl
7253	Sound Designer: Jacob Rhein	Concepteur sonore : Jacob Rhein
7254	Sound Designer: Jack Bassett	Concepteur sonore : Jack Bassett
7255	Audio Production Coordinator:  Andy Forsberg	Coordinateur de la production audio :  Andy Forsberg
7256	ORIGINAL MUSIC BY	MUSIQUE ORIGINALE PAR
7257	Isaac Vail	Isaac Vail
7258	Alex Yoder	Alex Yoder
7259	NARRATOR	NARRATEUR
7260	Elizabeth Saydah	Elizabeth Saydah
7261	SPECIAL THANKS	REMERCIEMENTS SPÉCIAUX
7262	casauchi	casauchi
7263	Our friends and family for supporting us	Nos amis et notre famille pour leur soutien
7264	Everyone who has submitted a bug report or feedback	Tous ceux qui ont soumis un rapport de bogue ou un feedback
7265	THANKS TO OUR KICKSTARTER BACKERS FOR MAKING THIS GAME POSSIBLE!	MERCI À NOS BACKERS KICKSTARTER POUR AVOIR RENDU CE JEU POSSIBLE !
7266	SCENARIO DESIGNERS	CONCEPTEURS DE SCÉNARIOS
7267	Mitchell Lindenmeyer	Mitchell Lindenmeyer
7268	Drew and Trevor Glisson	Drew et Trevor Glisson
7269	UNIFORMED OFFICERS	AGENTS EN UNIFORME
7270	Chris Briden	Chris Briden
7271	Max Torres	Max Torres
7272	Christopher Mullins	Christopher Mullins
7273	Gustav Wedholm	Gustav Wedholm
7274	Bryan Glen Richards	Bryan Glen Richards
7275	KICKSTARTER ALPHA TESTERS	TESTEURS ALPHA KICKSTARTER
7276	backer_names	noms_de_soutiens
7277	KICKSTARTER BACKERS	BACKERS DU KICKSTARTER
7278	supporter_names	noms des supporters
7279	KICKSTARTER SUPPORTERS	SUPPORTERS DE KICKSTARTER
7280	Contact us if you backed us and your name does not appear!	Contactez-nous si vous nous avez soutenu et que votre nom n'apparaît pas !
7281	Powered_By_Teamspeak	Powered_By_Teamspeak
7282	Powered by Teamspeak	Propulsé par Teamspeak
7283	POWEREDBY_WWISE_LOGO_REV_Med_PNG	POWEREDBY_WWWISE_LOGO_REV_Med_PNG
7284	Powered by Wwise Â© 2006 â€“ 2015* Audiokinetic Inc. All rights reserved.	"Powered by Wwise Â© 2006 â€"" 2015* Audiokinetic Inc. Tous droits réservés."
7285	Copyright 2016-2021 Leafy Games, LLC	Copyright 2016-2021 Leafy Games, LLC
7286	Leafy_Logo	Logo Leafy
7287	ProceduralFaceMaterialEnabled	ProceduralFaceMaterialEnabled
7288	Face ID	Face ID
7289	Enable Procedural Face Materials in VIDEO SETTINGS	Activez les matériaux de visage procéduraux dans les paramètres vidéo.
7290	to allow the following options:	pour autoriser les options suivantes :
7291	Skin Color (Red)	Couleur de la peau (rouge)
7292	Skin Color (Green)	Couleur de la peau (vert)
7293	Skin Color (Blue)	Couleur de la peau (bleu)
7294	Tattoo	Tattoo
7295	Tattoo Color (Red)	Couleur du tatouage (rouge)
7296	Tattoo Color (Green)	Couleur du tatouage (vert)
7297	Tattoo Color (Blue)	Couleur du tatouage (bleu)
7298	Scar	Cicatrice
7299	Lip Color (Red)	Couleur des lèvres (rouge)
7300	Lip Color (Green)	Couleur des lèvres (vert)
7301	Lip Color (Blue)	Couleur des lèvres (bleu)
7302	Type	Type
7303	Game Name:	Nom du jeu :
7304	Ship Name:	Nom du navire :
7305	Private Game:	Jeu privé :
7306	On	Sur
7307	Password:	Mot de passe :
7308	Galaxy Settings	Paramètres de la galaxie
7309	Game is set to Public	Le jeu est réglé sur Public
7310	Game is set to Private	Le jeu est réglé sur Privé
7311	Set as Public Game	Définir comme jeu public
7312	Set as Private Game	Set as Private Game
7313	Apply Changes	Appliquer les changements
7314	Your Crew Has Perished!	Votre équipage a péri !
7315	Retry	Réessayer
7316	Retry (Host Only)	Nouvelle tentative (hôte uniquement)
7317	Load (Host Only)	Charge (hôte uniquement)
7318	Leave	Laissez
7319	ServerWaitForRetryMessageSentToClients	ServerWaitForRetryMessageSentToClients
7320	Number Of Jumps: $	Nombre de sauts
7321	$	$
7322	Enemies Destroyed: $	Ennemis détruits : $
7323	Game Time: $$	Heure du match : $$$
7324	min$$	Min$$
7325	Retry From Load	Réessayer à partir de la charge
7326	Victory!	Victoire !
7327	Save Game	Sauvegarder le jeu
7328	LOAD	CHARGE
7329	Error loading file!	Erreur de chargement du fichier !
7330	Input Bindings File: Old Version	Fichier de liaisons d'entrée : ancienne version
7331	Your input bindings file seems to be a older version! We highly recommend you Recreate Default File to replace your binding file with the new default. $$INFO: Recreating the default file will erase any modifications you may have made to your bindings file!	Votre fichier de liaisons d'entrée semble être une ancienne version ! Nous vous recommandons vivement de recréer le fichier par défaut pour remplacer votre fichier de liaisons par le nouveau fichier par défaut. $$INFO : Recréer le fichier par défaut effacera toutes les modifications que vous avez pu apporter à votre fichier de liaisons !
7332	Recreate Default File (Latest Version)	Recréer le fichier par défaut (dernière version)
7333	Enter your online player name:	Entrez votre nom de joueur en ligne :
7334	Continue	Continuer
7335	Enter password to join private game:	Entrez le mot de passe pour rejoindre le jeu privé :
7336	Join Private Crew	Rejoindre l'équipage privé
7337	Are you sure you want to kick:	Tu es sûr que tu veux donner un coup de pied :
7338	?	?
7339	You can view/undo bans in the Game Settings menu under Manage Bans	Vous pouvez afficher/annuler les bans dans le menu Paramètres du jeu, sous Gérer les bans.
7340	Ban	Ban
7341	Ban (Secured games only)	Interdiction (jeux sécurisés uniquement)
7342	Kick	Coup de pied
7343	OnDownloadPreview	OnDownloadPreview
7344	read whole preview	lire l'aperçu complet
7345	failed to read whole preview	n'a pas réussi à lire tout l'aperçu
7346	Workshop	Atelier
7347	Created	Créé
7348	Installed	Installé
7349	Previous Page	Page précédente
7350	OnClickAdd	OnClickAdd
7351	Size (MB)	Taille (MB)
7352	Upvotes	Upvotes
7353	Tags	Tags
7354	INSTALLED	INSTALLE
7355	SUBSCRIBED	SUBSCRIBED
7356	PUBLISHED	PUBLIÉ
7357	Language	Langue
7358	<color=#FFF>[	<color=#FFF>[
7359	]</color>	]</color>
7360	<color=#999>	<color=#999>
7361	</color>	</color>
7362	Activate	Activez
7363	Deactivate	Désactiver
7364	en	sur
7365	Info	Info
7366	steam://url/CommunityFilePage/	steam://url/CommunityFilePage/
7367	Edit	Modifier
7368	Install	Installer
7369	Uninstall	Désinstaller
7370	Liarâ€™s dice is a bluffing game about stating the number of dice with a specific face. Each player secretly rolls 5 dice, and then betting begins. Players place bets on how many dice of a certain face are up amongst the total pool of dice, even though they can only see 5 of them.$$On a playerâ€™s turn, he or she can choose to raise the current bid or challenge it (if they think itâ€™s false). When raising a bid, players must raise the number of dice in the bid. As long as the die count is raised, the face value can be lowered.$$Players win points through challenges. If the bid was true, the player who placed the bid receives a point. If it was false, then the challenger receives a point. The first player to reach 3 points wins the game, and a new game will start shortly after!	Liar's dice est un jeu de bluff consistant à indiquer le nombre de dés ayant une face spécifique. Chaque joueur lance secrètement 5 dés, puis les paris commencent. Les joueurs parient sur le nombre de dés d'une certaine face parmi l'ensemble des dés, même s'ils ne peuvent en voir que 5.$$Au tour d'un joueur, il peut choisir d'augmenter l'enchère actuelle ou de la contester (s'il pense qu'elle est fausse). Lorsqu'ils relancent une enchère, les joueurs doivent augmenter le nombre de dés de l'enchère. Tant que le nombre de dés est augmenté, la valeur faciale peut être diminuée.$$Les joueurs gagnent des points grâce aux défis. Si l'enchère est vraie, le joueur qui l'a placée reçoit un point. Si elle était fausse, alors le challenger reçoit un point. Le premier joueur à atteindre 3 points remporte la partie, et une nouvelle partie commence peu après !
7371	Liar's Dice Rules	Règles du jeu de dés du menteur
7372	Confirm	Confirmer
7373	[color=red]	[color=red]
7374	[color=blue]	[color=blue]
7375	<color=#3a95d4>	<color=#3a95d4>
7376	[color=green]	[color=green]
7377	<color=#00c521>	<color=#00c521>
7378	[color=yellow]	[color=yellow]
7379	<color=yellow>	<color=yellow>
7380	Game Manual	Manuel de jeu
7381	manual	manuel
7382	Intro	Intro
7383	Galaxy Info	Infos sur la galaxie
7384	Scroll Up	Défilement vers le haut
7385	Scroll Down	Défilement vers le bas
7386	Offline Mode	Mode hors ligne
7387	PULSAR is in offline mode!	PULSAR est en mode hors ligne !
7388	PULSAR is currently running in offline mode. You will not be able to play with other players unless it is disabled!	PULSAR fonctionne actuellement en mode hors ligne. Vous ne pourrez pas jouer avec d'autres joueurs si ce mode n'est pas désactivé !
7389	Continue in offline mode	Continuer en mode hors ligne
7390	Request / Delete Data	Demander / supprimer des données
7391	Attempt to connect and play online	Tenter de se connecter et de jouer en ligne
7392	Opens a webpage that allows you to see the data collected or delete your data and disable analytics	Ouvre une page web qui vous permet de voir les données collectées ou de supprimer vos données et de désactiver l'analyse.
7393	Continue to the game with your current settings	Continuer le jeu avec vos paramètres actuels
7394	Continue to the game and turn off analytics	Continuer le jeu et éteindre les analytiques
7395	Continue to the game and turn on analytics	Continuez le jeu et activez l'analyse
7396	Data Privacy Information	Informations sur la confidentialité des données
7397	Sending analytics helps us improve the game and enables us to make more informed decisions for balancing and gameplay.$$Disabling analytics will also disable automatic performance/error/crash reporting which helps us fix bugs faster$$We offer a way to request the collected data to view or delete it. You can access these settings at any time in the Game Settings menu.	L'envoi d'analyses nous aide à améliorer le jeu et nous permet de prendre des décisions plus éclairées en matière d'équilibrage et de gameplay.$$Désactiver les analyses désactivera également les rapports automatiques sur les performances/erreurs/crashs qui nous aident à corriger les bugs plus rapidement$$Nous offrons un moyen de demander les données collectées pour les consulter ou les supprimer. Vous pouvez accéder à ces paramètres à tout moment dans le menu Paramètres du jeu.
7398	Continue With Analytics ON	Poursuivre avec l'analyse ON
7399	Continue With Analytics OFF	Continuer avec Analytics OFF
7400	AnalyticsOptInShown	AnalyticsOptInShown
7401	UnityAnalytics	UnityAnalytics
7402	false	faux
7403	Failed to get data privacy url: {0}	Échec de la récupération de l'url de confidentialité des données : {0}
7404	Received data privacy URL: {0}	URL de confidentialité des données reçues : {0}
7405	window.open(\^	window.open(\^
7406	\^,\^_blank\^)	\^,\^_blank\^)
7407	Video Settings	Paramètres vidéo
7408	Audio Settings	Paramètres audio
7409	Game Settings	Paramètres du jeu
7410	View Manual	Voir le manuel
7411	View Controls	Contrôles d'affichage
7412	Can't Save (In Warp)	Can't Save (In Warp)
7413	Can't Save (In Danger)	Can't Save (In Danger)
7414	Only Host Can Save	Seul l'hôte peut sauver
7415	GameEnd	GameEnd
7416	Try To Reconnect	Essayez de vous reconnecter
7417	Go Offline	Se mettre hors ligne
7418	Switching Photon Cloud Regions	Commutation des régions du nuage de photons
7419	Connection failure to Photon Cloud!	Échec de la connexion à Photon Cloud !
7420	Current Connection State:	État actuel de la connexion :
7421	Go offline	Se déconnecter
7422	Select a Region	Sélectionnez une région
7423	Select the closest region to connect to below.$NOTE: You can only play with players in your region	Sélectionnez la région la plus proche à laquelle vous voulez vous connecter ci-dessous. NOTE : Vous ne pouvez jouer qu'avec des joueurs de votre région.
7424	United States	États-Unis
7425	Europe	Europe
7426	Japan	Japon
7427	Asia	Asie
7428	Australia	Australie
7429	us	nous
7430	eu	eu
7431	jp	jp
7432	asia	asie
7433	au	au
7434	-	-
7435	ms ping	ms ping
7436	Asia (Singapore)	Asie (Singapour)
7437	6246645a-91a6-4580-b5bd-64d6b8fc6875	6246645a-91a6-4580-b5bd-64d6b8fc6875
7438	Select a region to connect to:	Sélectionnez une région à laquelle vous souhaitez vous connecter :
7439	Overwrite	Écraser
7440	OVERWRITE	ÉCHAPPEMENT
7441	CANCEL	ANNULER
7442	Save AI Data	Sauvegarder les données de l'IA
7443	SAVE	SAVE
7444	Saves/AI/	Sauvegarde/AI/
7445	.aidata	.aidata
7446	AI	AI
7447	Stat Tracking Confirmation	Confirmation du suivi des statistiques
7448	Enable Anonymous Stat Tracking	Activer le suivi anonyme des statistiques
7449	Disable Anonymous Stat Tracking	Désactiver le suivi anonyme des statistiques
7450	We have implemented a simple event tracking system that will allow us to learn more about how players are interacting with the game systems.$$If do not want anonymous session / behavior data securely sent to Leafy Games you can opt-out below.$$This data will be used to improve PULSAR and keep us working on issues that matter most to our player base!$$ You can change your mind later in the Game Settings menu.	Nous avons mis en place un système simple de suivi des événements qui nous permettra d'en savoir plus sur la façon dont les joueurs interagissent avec les systèmes de jeu.$$Si vous ne voulez pas que les données anonymes de session / comportement soient envoyées en toute sécurité à Leafy Games, vous pouvez vous désengager ci-dessous.$$Ces données seront utilisées pour améliorer PULSAR et nous permettre de continuer à travailler sur les questions qui comptent le plus pour notre base de joueurs!$$ Vous pouvez changer d'avis plus tard dans le menu Paramètres du jeu.
7451	Steam Cloud Saves / Files	Sauvegardes / Fichiers du nuage Steam
7452	files found in the Steam Cloud	fichiers trouvés dans le Steam Cloud
7453	CaptainBuyItem	CaptainBuyItem
7454	CaptainSellItem	CaptainSellItem
7455	Current Coolant:	Liquide de refroidissement actuel :
7456	L	L
7457	Buy 500 L Coolant (2000 Cr)	Acheter 500 L de liquide de refroidissement (2000 Cr)
7458	Buy 50 L Coolant (200 Cr)	Acheter 50 L de liquide de refroidissement (200 Cr)
7459	Buy 5 L Coolant (20 Cr)	Acheter 5 L de liquide de refroidissement (20 Cr)
7460	Current Fuel:	Carburant actuel :
7461	Buy 10 Fuel Capsules (500 Cr)	Acheter 10 capsules de carburant (500 Cr)
7462	Buy 1 Fuel Capsule (50 Cr)	Acheter 1 Capsule de carburant (50 Cr)
7463	Buy 1	Acheter 1
7464	Refill (	Recharge (
7465	Cr)	Cr)
7466	Buy	Acheter
7467	Refills (	Recharges (
7468	Buy	Acheter
7469	Sell Cargo	Vendre Cargo
7470	Hull(s)	Coque(s)
7471	Hull Plating(s)	Revêtement(s) de la coque
7472	Reactor(s)	Réacteur(s)
7473	Thrusters(s)	Propulseurs(s)
7474	Warp Drive(s)	Lecteur(s) Warp
7475	Shield Generator(s)	Générateur(s) de bouclier
7476	CPU(s)	CPU(s)
7477	Turret(s)	Tourelle(s)
7478	Silo(s)	Silo(s)
7479	Main Turret(s)	Tourelle(s) principale(s)
7480	Nuclear Devices(s)	Dispositifs nucléaires (s)
7481	O2 Generator(s)	Générateur(s) d'O2
7482	Program(s)	Programme(s)
7483	Scrap(s)	Rebut(s)
7484	Cr	Cr
7485	Charge Amount$	Montant de la charge
7486	Standard Galaxy	Galaxie standard
7487	Expert Galaxy	Expert Galaxy
7488	Custom Galaxy	Galaxie personnalisée
7489	<color=#666666>	<color=#666666>
7490	Number of Sectors	Nombre de secteurs
7491	$<size=35>	$<size=35>
7492	</size>$	</size>$
7493	Drone Modifier Scalar	Modificateur de drone Scalar
7494	Chaos Scalar	Chaos Scalar
7495	Beacon Scalar	Balise Scalaire
7496	Enemy Ship Power Scalar	Scalaire de puissance des navires ennemis
7497	Max Chaos Level	Niveau de chaos maximum
7498	Custom Galaxy Seed	Graine de galaxie personnalisée
7499	Colonial Union (Initial | Spread)	Union Coloniale (Initial | Ecart)
7500	% |	% |
7501	W.D. Corp (Initial | Spread)	W.D. Corp (Initial | Spread)
7502	Infected (Initial | Spread)	Infecté (Initial | Propagation)
7503	Moon Count Scalar	Scalaire du compte de la lune
7504	General Store Scalar	Scalaire du magasin général
7505	Long Range Warp Scalar	Warp Scalar à longue portée
7506	Nebula Scalar	Nebula Scalar
7507	Scrapyard Scalar	Scalar Scrapyard
7508	Minefield Scalar	Minefield Scalar
7509	Graveyard Scalar	Scalaire du cimetière
7510	Asteroid Field Scalar	Champ d'astéroïdes Scalaire
7511	Frontlines Scalar	Frontlines Scalar
7512	Energy Dmg (Playership | Other)	Dmg d'énergie (Playership | Autre)
7513	Physical Dmg (Playership | Other)	Dmg physique (Joueur | Autre)
7514	Reactor Boost (Playership | Other)	Reactor Boost (Playership | Autre)
7515	Shield Charge Rate (Playership | Other)	Taux de redevance du bouclier (Playership | Autre)
7516	Thruster Boost (Playership | Other)	Thruster Boost (Playership | Autre)
7517	Warp Charge Boost (Playership | Other)	Warp Charge Boost (Playership | Autre)
7518	Activate Voice Chat?	Activer le chat vocal ?
7519	PULSAR includes built-in voice chat functionality. Do you want to enable this functionality? $$INFO: Disabling voice chat will prevent you from hearing or communicating with other players.	PULSAR comprend une fonctionnalité de chat vocal intégrée. Voulez-vous activer cette fonctionnalité ? $$INFO : La désactivation du chat vocal vous empêchera d'entendre ou de communiquer avec les autres joueurs.
7520	ENABLE$In-Game Voice Chat	ENABLE$In-Game Voice Chat
7521	DISABLE$In-Game Voice Chat	DISABLE$In-Game Voice Chat
7522	VoiceChatEnabled	VoiceChatEnabled
7523	30 sec	30 secondes
7524	Killed by	Tué par
7525	Killed by:	Tué par :
7526	Killed by environment	Tué par l'environnement
7527	Respawning in	Respawning dans
7528	0 s	0 s
7529	Waiting for available atrium	En attente d'un atrium disponible
7530	PLProgressDataCloudConflictMenu::OnEnter	PLProgressDataCloudConflictMenu::OnEnter
7531	Conflict syncing game progress with Steam Cloud!	Synchronisation de la progression du jeu avec Steam Cloud !
7532	Keep Local File	Conserver le fichier local
7533	jumps completed$$Last Changed:	sauts terminés$$Dernière modification :
7534	Keep Remote File	Conserver le fichier distant
7535	joystick	joystick
7536	standard	standard
7537	oculusvr	oculusvr
7538	DeviceDropdown	DeviceDropdown
7539	KeyDropdown	KeyDropdown
7540	steamvr	steamvr
7541	Joystick	Joystick
7542	Axis	Axe
7543	InputBindingsFilename	InputBindingsFilename
7544	SteamVR	SteamVR
7545	edit axis	axe d'édition
7546	MouseSensitivity_Foot	Sensibilité de la souris_pied
7547	MouseSensitivity_Turret	SourisSensibilité_Turret
7548	JoystickSensitivity	JoystickSensibilité
7549	JoystickSensitivityVirtualCursor	JoystickSensitivityVirtualCursor
7550	InvertMouseY_Foot	Inverser la sourisY_Pied
7551	InvertMouseY_Turret	Inverser la sourisY_Turret
7552	UseVirtualCursor	UseVirtualCursor
7553	TurretCameraSmoothing	TourelleCaméraLissage
7554	RawMouseInput	RawMouseInput
7555	Sprint_UseToggle	Sprint_UseToggle
7556	joy(all)axis(	joy(all)axis(
7557	joy(	joie(
7558	)axis(	)axe(
7559	axis	axe
7560	CONNECTED:$	CONNECTED:$
7561	Left Oculus Touch$	Oculus Touch$ gauche
7562	Right Oculus Touch$	Droit Oculus Touch$
7563	Oculus Remote$	Oculus Remote$
7564	OpenVR Controller$	Controller$ OpenVR
7565	LastCreatedGameName	Nom du dernier jeu créé
7566	's Game	Le jeu
7567	LockIcon	LockIcon
7568	Ship is locked!	Le vaisseau est verrouillé !
7569	OFFLINE MODE	OFFLINE MODE
7570	ONLINE MODE	MODE EN LIGNE
7571	GalaxySettings	GalaxySettings
7572	AVAILABLE: Click to unlock	DISPONIBLE : Cliquez pour déverrouiller
7573	LOCKED:	VERROUILLÉ :
7574	</color>$	</color>$
7575	<i>Main Campaign</i>$$Explore the galaxy in search of data fragments in order to reach the mysterious Lost Colony	<i>Campagne principale$$Explorez</i> la galaxie à la recherche de fragments de données afin d'atteindre la mystérieuse colonie perdue.
7576	<i>Challenge Campaign</i>$$Join the Polytechic Federation and defend the galaxy from the Unseen	<i>Challenge Campaign$$Rejoignez</i> la Fédération Polytechique et défendez la galaxie contre l'Invisible.
7577	Hull$	Hull$
7578	Armor$	Armor$
7579	Shields$	Boucliers
7580	Mass$	Mass$
7581	Thrust$	Poussée
7582	Warp Range$	Warp Range$
